scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2025-06-13 06:05:10 UTC,2023-08-12 16:30:00 UTC,Newcastle,Aston Villa,Premier League 2023/2024,5,1,"2:1, 3:0",St. James' Park,Newcastle,England,"[{'1': '1.80', 'X': '3.90', '2': '4.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.62', 'X': '4.00', '2': '5.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.64', 'X': '4.20', '2': '5.00', 'bookmaker_name': 'BC.Game', 'period': 'FullTime'}, {'1': '1.67', 'X': '4.20', '2': '5.00', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.62', 'X': '4.00', '2': '5.25', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.66', 'X': '4.25', '2': '5.29', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '1.68', 'X': '4.20', '2': '5.29', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 06:05:10 UTC,2024-05-19 15:00:00 UTC,Crystal Palace,Aston Villa,Premier League 2023/2024,5,0,"2:0, 3:0",Selhurst Park,London,England,"[{'1': '1.53', 'X': '4.33', '2': '4.10', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.63', 'X': '4.50', '2': '4.75', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.57', 'X': '4.50', '2': '4.75', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.63', 'X': '4.65', '2': '5.00', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '1.63', 'X': '4.64', '2': '4.99', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 06:05:10 UTC,2024-05-19 15:00:00 UTC,Arsenal,Everton,Premier League 2023/2024,2,1,"1:1, 1:0",Emirates Stadium,London,England,"[{'1': '1.18', 'X': '7.00', '2': '15.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.22', 'X': '7.00', '2': '12.00', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.22', 'X': '7.50', '2': '10.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.21', 'X': '7.40', '2': '13.17', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '1.22', 'X': '7.16', '2': '13.07', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 06:05:15 UTC,2023-12-09 15:00:00 UTC,Manchester Utd,Bournemouth,Premier League 2023/2024,0,3,"0:1, 0:2",Old Trafford,Manchester,England,"[{'1': '1.65', 'X': '4.33', '2': '4.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.65', 'X': '4.33', '2': '4.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.67', 'X': '4.47', '2': '4.76', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '1.67', 'X': '4.48', '2': '4.78', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 06:05:15 UTC,2023-11-05 14:00:00 UTC,Nottingham,Aston Villa,Premier League 2023/2024,2,0,"1:0, 1:0",City Ground,Nottingham,England,"[{'1': '4.00', 'X': '3.60', '2': '1.91', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.80', 'X': '3.80', '2': '1.95', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '3.75', 'X': '3.75', '2': '1.91', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '3.94', 'X': '3.81', '2': '1.98', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '3.93', 'X': '3.81', '2': '1.95', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 06:05:15 UTC,2023-11-12 14:00:00 UTC,Liverpool,Brentford,Premier League 2023/2024,3,0,"1:0, 2:0",Anfield,Liverpool,England,"[{'1': '1.36', 'X': '5.00', '2': '7.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.40', 'X': '5.00', '2': '7.50', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.36', 'X': '5.50', '2': '7.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.39', 'X': '5.60', '2': '7.60', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '1.40', 'X': '5.51', '2': '7.48', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 06:05:20 UTC,2023-09-24 13:00:00 UTC,Liverpool,West Ham,Premier League 2023/2024,3,1,"1:1, 2:0",Anfield,Liverpool,England,"[{'1': '1.33', 'X': '5.50', '2': '8.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.38', 'X': '5.50', '2': '7.50', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.36', 'X': '5.25', '2': '7.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.38', 'X': '5.63', '2': '7.59', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '1.39', 'X': '5.64', '2': '7.61', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 06:05:20 UTC,2023-09-23 14:00:00 UTC,Crystal Palace,Fulham,Premier League 2023/2024,0,0,"0:0, 0:0",Selhurst Park,London,England,"[{'1': '2.05', 'X': '3.25', '2': '3.80', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.12', 'X': '3.30', '2': '3.80', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.05', 'X': '3.25', '2': '3.80', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.12', 'X': '3.38', '2': '3.92', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '2.10', 'X': '3.39', '2': '3.97', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 06:05:19 UTC,2024-04-21 14:00:00 UTC,Aston Villa,Bournemouth,Premier League 2023/2024,3,1,"1:1, 2:0",Villa Park,Birmingham,England,"[{'1': '1.80', 'X': '4.00', '2': '4.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.82', 'X': '4.00', '2': '4.00', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.83', 'X': '4.00', '2': '3.80', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.87', 'X': '4.12', '2': '4.05', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '1.87', 'X': '4.11', '2': '4.03', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 06:05:24 UTC,2024-04-06 11:30:00 UTC,Crystal Palace,Manchester City,Premier League 2023/2024,2,4,"1:1, 1:3",Selhurst Park,London,England,"[{'1': '9.00', 'X': '5.00', '2': '1.30', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '8.50', 'X': '5.00', '2': '1.36', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '10.00', 'X': '5.00', '2': '1.33', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '9.00', 'X': '5.40', '2': '1.35', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '8.80', 'X': '5.35', '2': '1.37', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
