scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2025-06-13 05:15:44 UTC,2016-04-16 14:00:00 UTC,Newcastle,Swansea,Premier League 2015/2016,3,0,"1:0, 2:0",St. James' Park,Newcastle,England,"[{'1': '2.40', 'X': '3.30', '2': '3.05', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.50', 'X': '3.40', '2': '3.05', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.37', 'X': '3.22', '2': '2.96', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.43', 'X': '3.46', '2': '3.13', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:15:44 UTC,2015-09-19 14:00:00 UTC,Stoke,Leicester,Premier League 2015/2016,2,2,"2:0, 0:2",Bet365 Stadium,Stoke on Trent,England,"[{'1': '2.95', 'X': '3.30', '2': '2.45', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.95', 'X': '3.40', '2': '2.55', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.79', 'X': '3.24', '2': '2.48', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.99', 'X': '3.45', '2': '2.53', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:15:43 UTC,2015-08-08 14:00:00 UTC,Norwich,Crystal Palace,Premier League 2015/2016,1,3,"0:1, 1:2",Carrow Road,Norwich,England,"[{'1': '2.45', 'X': '3.25', '2': '2.95', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.45', 'X': '3.40', '2': '3.10', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.43', 'X': '3.15', '2': '2.93', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.46', 'X': '3.39', '2': '3.14', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:15:49 UTC,2015-08-22 14:00:00 UTC,Norwich,Stoke,Premier League 2015/2016,1,1,"1:1, 0:0",Carrow Road,Norwich,England,"[{'1': '2.10', 'X': '3.30', '2': '3.60', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.20', 'X': '3.40', '2': '3.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.10', 'X': '3.24', '2': '3.51', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.15', 'X': '3.42', '2': '3.82', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:15:48 UTC,2016-04-02 11:45:00 UTC,Aston Villa,Chelsea,Premier League 2015/2016,0,4,"0:2, 0:2",Villa Park,Birmingham,England,"[{'1': '4.85', 'X': '3.55', '2': '1.80', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '5.15', 'X': '3.70', '2': '1.79', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.49', 'X': '3.42', '2': '1.80', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '4.93', 'X': '3.63', '2': '1.85', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:15:49 UTC,2015-12-26 12:45:00 UTC,Stoke,Manchester Utd,Premier League 2015/2016,2,0,"2:0, 0:0",Bet365 Stadium,Stoke on Trent,England,"[{'1': '3.60', 'X': '3.15', '2': '2.25', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '3.67', 'X': '3.27', '2': '2.25', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.49', 'X': '3.12', '2': '2.16', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '3.79', 'X': '3.25', '2': '2.23', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:15:53 UTC,2015-11-08 16:00:00 UTC,Arsenal,Tottenham,Premier League 2015/2016,1,1,"0:1, 1:0",Emirates Stadium,London,England,"[{'1': '1.77', 'X': '3.90', '2': '4.60', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.83', 'X': '3.85', '2': '4.55', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.76', 'X': '3.81', '2': '4.16', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.80', 'X': '3.96', '2': '4.72', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:15:52 UTC,2015-10-03 16:30:00 UTC,Chelsea,Southampton,Premier League 2015/2016,1,3,"1:1, 0:2",Stamford Bridge,London,England,"[{'1': '1.80', 'X': '3.70', '2': '4.65', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.78', 'X': '3.75', '2': '5.10', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.70', 'X': '3.66', '2': '4.83', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.79', 'X': '3.90', '2': '4.89', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:15:53 UTC,2015-12-19 17:30:00 UTC,Newcastle,Aston Villa,Premier League 2015/2016,1,1,"1:0, 0:1",St. James' Park,Newcastle,England,"[{'1': '2.00', 'X': '3.40', '2': '4.10', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.00', 'X': '3.55', '2': '4.10', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.94', 'X': '3.36', '2': '3.88', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.01', 'X': '3.55', '2': '4.15', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:15:57 UTC,2016-02-13 15:00:00 UTC,Swansea,Southampton,Premier League 2015/2016,0,1,"0:0, 0:1",Swansea.com Stadium,Swansea,Wales,"[{'1': '3.15', 'X': '3.15', '2': '2.45', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '3.23', 'X': '3.23', '2': '2.47', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.14', 'X': '3.06', '2': '2.35', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '3.20', 'X': '3.25', '2': '2.51', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
