scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2025-06-13 05:29:45 UTC,2018-02-24 12:30:00 UTC,Leicester,Stoke,Premier League 2017/2018,1,1,"0:1, 1:0",King Power Stadium,Leicester,England,"[{'1': '1.67', 'X': '3.85', '2': '5.40', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.66', 'X': '3.90', '2': '5.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.66', 'X': '3.83', '2': '5.12', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.70', 'X': '3.95', '2': '5.55', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:29:45 UTC,2018-02-05 20:00:00 UTC,Watford,Chelsea,Premier League 2017/2018,4,1,"1:0, 3:1",Vicarage Road,Watford,England,"[{'1': '6.55', 'X': '4.35', '2': '1.51', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '6.75', 'X': '4.35', '2': '1.52', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.20', 'X': '4.26', '2': '1.51', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '6.95', 'X': '4.50', '2': '1.53', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:29:45 UTC,2017-11-05 16:30:00 UTC,Everton,Watford,Premier League 2017/2018,3,2,"0:0, 3:2",Goodison Park,Liverpool,England,"[{'1': '2.25', 'X': '3.25', '2': '3.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.32', 'X': '3.20', '2': '3.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.18', 'X': '3.30', '2': '3.35', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.27', 'X': '3.30', '2': '3.61', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:29:50 UTC,2017-12-16 17:30:00 UTC,Manchester City,Tottenham,Premier League 2017/2018,4,1,"1:0, 3:1",Etihad Stadium,Manchester,England,"[{'1': '1.61', 'X': '4.40', '2': '5.30', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.58', 'X': '4.40', '2': '5.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.61', 'X': '4.28', '2': '4.91', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.64', 'X': '4.41', '2': '5.41', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:29:50 UTC,2018-02-24 15:00:00 UTC,Bournemouth,Newcastle,Premier League 2017/2018,2,2,"0:2, 2:0",Vitality Stadium,Bournemouth,England,"[{'1': '2.00', 'X': '3.50', '2': '3.90', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.95', 'X': '3.55', '2': '4.10', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.96', 'X': '3.49', '2': '3.81', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.00', 'X': '3.58', '2': '4.15', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:29:49 UTC,2017-12-09 17:30:00 UTC,Newcastle,Leicester,Premier League 2017/2018,2,3,"1:1, 1:2",St. James' Park,Newcastle,England,"[{'1': '2.55', 'X': '3.20', '2': '2.95', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.60', 'X': '3.25', '2': '2.85', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.52', 'X': '3.23', '2': '2.83', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.61', 'X': '3.27', '2': '3.02', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:29:54 UTC,2017-12-30 15:00:00 UTC,Liverpool,Leicester,Premier League 2017/2018,2,1,"0:1, 2:0",Anfield,Liverpool,England,"[{'1': '1.26', 'X': '6.75', '2': '10.25', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.27', 'X': '6.40', '2': '10.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.23', 'X': '6.56', '2': '10.24', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.27', 'X': '7.10', '2': '11.00', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:29:55 UTC,2017-12-16 12:30:00 UTC,Leicester,Crystal Palace,Premier League 2017/2018,0,3,"0:2, 0:1",King Power Stadium,Leicester,England,"[{'1': '1.77', 'X': '3.75', '2': '4.85', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.75', 'X': '3.75', '2': '4.90', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.73', 'X': '3.74', '2': '4.68', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.77', 'X': '3.85', '2': '5.10', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:29:54 UTC,2017-09-23 11:30:00 UTC,West Ham,Tottenham,Premier League 2017/2018,2,3,"0:2, 2:1",London Stadium,London,England,"[{'1': '5.80', 'X': '4.15', '2': '1.59', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '5.75', 'X': '4.30', '2': '1.57', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.39', 'X': '4.18', '2': '1.58', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '5.85', 'X': '4.37', '2': '1.61', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:29:59 UTC,2017-11-18 15:00:00 UTC,Leicester,Manchester City,Premier League 2017/2018,0,2,"0:1, 0:1",King Power Stadium,Leicester,England,"[{'1': '8.25', 'X': '5.60', '2': '1.34', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '8.00', 'X': '5.50', '2': '1.36', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '7.17', 'X': '5.49', '2': '1.35', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '8.26', 'X': '5.65', '2': '1.38', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
