scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2025-06-13 05:22:43 UTC,2016-11-05 15:00:00 UTC,Manchester City,Middlesbrough,Premier League 2016/2017,1,1,"1:0, 0:1",Etihad Stadium,Manchester,England,"[{'1': '1.19', 'X': '7.25', '2': '15.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.22', 'X': '7.40', '2': '14.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.18', 'X': '6.72', '2': '13.89', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.22', 'X': '7.55', '2': '14.75', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:22:43 UTC,2017-01-21 17:30:00 UTC,Manchester City,Tottenham,Premier League 2016/2017,2,2,"0:0, 2:2",Etihad Stadium,Manchester,England,"[{'1': '2.10', 'X': '3.50', '2': '3.60', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.12', 'X': '3.55', '2': '3.70', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.06', 'X': '3.40', '2': '3.46', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.15', 'X': '3.58', '2': '3.62', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:22:43 UTC,2016-10-01 14:00:00 UTC,West Ham,Middlesbrough,Premier League 2016/2017,1,1,"0:0, 1:1",London Stadium,London,England,"[{'1': '2.00', 'X': '3.40', '2': '3.95', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.03', 'X': '3.50', '2': '4.05', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.00', 'X': '3.30', '2': '3.75', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.00', 'X': '3.52', '2': '4.26', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:22:48 UTC,2017-05-18 18:45:00 UTC,Leicester,Tottenham,Premier League 2016/2017,1,6,"0:2, 1:4",King Power Stadium,Leicester,England,"[{'1': '4.10', 'X': '3.80', '2': '1.87', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '4.10', 'X': '3.80', '2': '1.87', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.91', 'X': '3.86', '2': '1.84', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '4.18', 'X': '3.95', '2': '1.89', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:22:48 UTC,2017-04-10 19:00:00 UTC,Crystal Palace,Arsenal,Premier League 2016/2017,3,0,"1:0, 2:0",Selhurst Park,London,England,"[{'1': '4.55', 'X': '4.05', '2': '1.74', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '4.60', 'X': '4.10', '2': '1.72', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.26', 'X': '4.03', '2': '1.73', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '4.61', 'X': '4.16', '2': '1.78', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:22:47 UTC,2016-11-06 14:15:00 UTC,Hull,Southampton,Premier League 2016/2017,2,1,"0:1, 2:0",MKM Stadium,Hull,England,"[{'1': '5.65', 'X': '3.75', '2': '1.67', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '5.75', 'X': '3.85', '2': '1.69', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.38', 'X': '3.58', '2': '1.65', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '5.75', 'X': '3.90', '2': '1.69', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:22:51 UTC,2017-01-21 15:00:00 UTC,Middlesbrough,West Ham,Premier League 2016/2017,1,3,"1:2, 0:1",Riverside Stadium,Middlesbrough,England,"[{'1': '2.50', 'X': '3.05', '2': '3.15', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.58', 'X': '3.10', '2': '3.20', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.43', 'X': '3.04', '2': '3.05', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.58', 'X': '3.11', '2': '3.21', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:22:52 UTC,2017-03-04 15:00:00 UTC,Watford,Southampton,Premier League 2016/2017,3,4,"1:2, 2:2",Vicarage Road,Watford,England,"[{'1': '3.50', 'X': '3.30', '2': '2.20', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '3.85', 'X': '3.40', '2': '2.06', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.89', 'X': '3.33', '2': '1.99', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '4.12', 'X': '3.51', '2': '2.03', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:22:52 UTC,2016-08-27 16:30:00 UTC,Hull,Manchester Utd,Premier League 2016/2017,0,1,"0:0, 0:1",MKM Stadium,Hull,England,"[{'1': '8.75', 'X': '4.50', '2': '1.42', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '9.00', 'X': '4.65', '2': '1.43', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '7.08', 'X': '4.29', '2': '1.44', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '9.15', 'X': '4.54', '2': '1.45', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:22:56 UTC,2016-09-25 15:00:00 UTC,West Ham,Southampton,Premier League 2016/2017,0,3,"0:1, 0:2",London Stadium,London,England,"[{'1': '3.00', 'X': '3.35', '2': '2.40', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '3.10', 'X': '3.40', '2': '2.45', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.90', 'X': '3.30', '2': '2.37', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '3.15', 'X': '3.41', '2': '2.44', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:22:56 UTC,2017-01-14 15:00:00 UTC,Watford,Middlesbrough,Premier League 2016/2017,0,0,"0:0, 0:0",Vicarage Road,Watford,England,"[{'1': '2.35', 'X': '3.05', '2': '3.45', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.45', 'X': '3.10', '2': '3.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.31', 'X': '2.98', '2': '3.33', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.35', 'X': '3.14', '2': '3.62', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:22:56 UTC,2017-01-21 15:00:00 UTC,Crystal Palace,Everton,Premier League 2016/2017,0,1,"0:0, 0:1",Selhurst Park,London,England,"[{'1': '3.00', 'X': '3.30', '2': '2.45', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '3.05', 'X': '3.40', '2': '2.48', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.92', 'X': '3.19', '2': '2.41', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '3.02', 'X': '3.31', '2': '2.58', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:23:01 UTC,2017-02-25 15:00:00 UTC,Hull,Burnley,Premier League 2016/2017,1,1,"0:0, 1:1",MKM Stadium,Hull,England,"[{'1': '2.10', 'X': '3.20', '2': '3.80', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.14', 'X': '3.20', '2': '3.85', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.09', 'X': '3.18', '2': '3.75', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.15', 'X': '3.29', '2': '3.98', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:23:00 UTC,2017-05-16 19:00:00 UTC,Manchester City,West Brom,Premier League 2016/2017,3,1,"2:0, 1:1",Etihad Stadium,Manchester,England,"[{'1': '1.14', 'X': '8.50', '2': '19.00', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.14', 'X': '8.50', '2': '22.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.16', 'X': '7.55', '2': '14.54', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.16', 'X': '9.25', '2': '19.35', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:23:00 UTC,2016-12-14 20:00:00 UTC,Tottenham,Hull,Premier League 2016/2017,3,0,"1:0, 2:0",White Hart Lane,London,England,"[{'1': '1.20', 'X': '6.85', '2': '15.25', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.23', 'X': '7.00', '2': '14.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.22', 'X': '6.06', '2': '11.91', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.23', 'X': '7.14', '2': '14.50', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:23:05 UTC,2016-12-14 20:00:00 UTC,Crystal Palace,Manchester Utd,Premier League 2016/2017,1,2,"0:1, 1:1",Selhurst Park,London,England,"[{'1': '5.30', 'X': '3.85', '2': '1.69', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '5.45', 'X': '3.90', '2': '1.71', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.16', 'X': '3.66', '2': '1.66', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '5.41', 'X': '3.96', '2': '1.71', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:23:05 UTC,2016-08-20 14:00:00 UTC,Swansea,Hull,Premier League 2016/2017,0,2,"0:0, 0:2",Swansea.com Stadium,Swansea,Wales,"[{'1': '1.83', 'X': '3.45', '2': '4.90', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.83', 'X': '3.60', '2': '5.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.82', 'X': '3.35', '2': '4.49', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.86', 'X': '3.55', '2': '4.95', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:23:05 UTC,2016-10-16 12:30:00 UTC,Middlesbrough,Watford,Premier League 2016/2017,0,1,"0:0, 0:1",Riverside Stadium,Middlesbrough,England,"[{'1': '2.25', 'X': '3.20', '2': '3.45', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.32', 'X': '3.30', '2': '3.45', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.22', 'X': '3.13', '2': '3.33', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.26', 'X': '3.27', '2': '3.67', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:23:10 UTC,2016-08-13 11:30:00 UTC,Hull,Leicester,Premier League 2016/2017,2,1,"1:0, 1:1",MKM Stadium,Hull,England,"[{'1': '4.50', 'X': '3.45', '2': '1.91', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '4.65', 'X': '3.50', '2': '1.91', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.28', 'X': '3.36', '2': '1.86', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '4.68', 'X': '3.50', '2': '1.92', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:23:09 UTC,2017-04-16 12:30:00 UTC,West Brom,Liverpool,Premier League 2016/2017,0,1,"0:1, 0:0",The Hawthorns,West Bromwich,England,"[{'1': '4.50', 'X': '3.65', '2': '1.83', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '4.50', 'X': '3.70', '2': '1.82', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.33', 'X': '3.58', '2': '1.82', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '4.58', 'X': '3.71', '2': '1.88', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:23:10 UTC,2017-04-15 14:00:00 UTC,Crystal Palace,Leicester,Premier League 2016/2017,2,2,"0:1, 2:1",Selhurst Park,London,England,"[{'1': '2.00', 'X': '3.45', '2': '4.00', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.02', 'X': '3.40', '2': '4.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.97', 'X': '3.45', '2': '3.80', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.04', 'X': '3.52', '2': '4.07', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:23:14 UTC,2016-12-17 15:00:00 UTC,Middlesbrough,Swansea,Premier League 2016/2017,3,0,"2:0, 1:0",Riverside Stadium,Middlesbrough,England,"[{'1': '2.10', 'X': '3.25', '2': '3.90', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.15', 'X': '3.30', '2': '3.90', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.06', 'X': '3.19', '2': '3.69', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.14', 'X': '3.33', '2': '3.96', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:23:14 UTC,2016-11-19 15:00:00 UTC,Everton,Swansea,Premier League 2016/2017,1,1,"0:1, 1:0",Goodison Park,Liverpool,England,"[{'1': '1.56', 'X': '4.30', '2': '6.05', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.58', 'X': '4.50', '2': '5.90', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.54', 'X': '4.23', '2': '5.36', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.60', 'X': '4.42', '2': '5.94', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:23:14 UTC,2016-11-06 16:30:00 UTC,Leicester,West Brom,Premier League 2016/2017,1,2,"0:0, 1:2",King Power Stadium,Leicester,England,"[{'1': '1.71', 'X': '3.65', '2': '5.60', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.72', 'X': '3.75', '2': '5.65', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.67', 'X': '3.56', '2': '5.30', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.74', 'X': '3.72', '2': '5.65', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
