scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2025-06-13 05:44:09 UTC,2020-02-08 17:30:00 UTC,Brighton,Watford,Premier League 2019/2020,1,1,"0:1, 1:0",Amex Stadium,Brighton,England,"[{'1': '2.25', 'X': '3.25', '2': '3.10', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.28', 'X': '3.40', '2': '3.25', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.26', 'X': '3.33', '2': '3.15', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.40', '2': '3.20', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.36', 'X': '3.30', '2': '3.28', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:09 UTC,2020-02-16 16:30:00 UTC,Arsenal,Newcastle,Premier League 2019/2020,4,0,"0:0, 4:0",Emirates Stadium,London,England,"[{'1': '1.43', 'X': '4.25', '2': '7.00', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.44', 'X': '4.70', '2': '7.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.43', '2': '6.85', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.44', 'X': '4.50', '2': '7.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.46', 'X': '4.55', '2': '7.93', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:09 UTC,2019-11-23 15:00:00 UTC,Crystal Palace,Liverpool,Premier League 2019/2020,1,2,"0:0, 1:2",Selhurst Park,London,England,"[{'1': '6.55', 'X': '4.30', '2': '1.44', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '7.00', 'X': '4.50', '2': '1.47', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.36', 'X': '4.40', '2': '1.48', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '6.50', 'X': '4.40', '2': '1.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '6.95', 'X': '4.65', '2': '1.49', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:14 UTC,2019-11-09 15:00:00 UTC,Burnley,West Ham,Premier League 2019/2020,3,0,"2:0, 1:0",Turf Moor,Burnley,England,"[{'1': '2.10', 'X': '3.50', '2': '3.15', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.16', 'X': '3.60', '2': '3.35', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.11', 'X': '3.59', '2': '3.24', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.10', 'X': '3.60', '2': '3.30', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.18', 'X': '3.63', '2': '3.41', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:14 UTC,2020-01-19 16:30:00 UTC,Liverpool,Manchester Utd,Premier League 2019/2020,2,0,"1:0, 1:0",Anfield,Liverpool,England,"[{'1': '1.42', 'X': '4.40', '2': '6.90', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.46', 'X': '4.60', '2': '7.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.49', '2': '6.81', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.40', 'X': '4.75', '2': '7.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.46', 'X': '4.64', '2': '7.58', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:14 UTC,2019-11-23 17:30:00 UTC,Manchester City,Chelsea,Premier League 2019/2020,2,1,"2:1, 0:0",Etihad Stadium,Manchester,England,"[{'1': '1.36', 'X': '5.25', '2': '6.80', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.38', 'X': '5.50', '2': '7.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.38', 'X': '5.34', '2': '6.65', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.36', 'X': '5.50', '2': '7.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.38', 'X': '5.84', '2': '7.62', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:19 UTC,2019-11-23 15:00:00 UTC,Bournemouth,Wolves,Premier League 2019/2020,1,2,"0:2, 1:0",Vitality Stadium,Bournemouth,England,"[{'1': '2.90', 'X': '3.15', '2': '2.40', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.95', 'X': '3.25', '2': '2.55', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.98', 'X': '3.13', '2': '2.47', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.87', 'X': '3.25', '2': '2.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '3.10', 'X': '3.25', '2': '2.52', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:19 UTC,2020-07-26 15:00:00 UTC,Crystal Palace,Tottenham,Premier League 2019/2020,1,1,"0:1, 1:0",Selhurst Park,London,England,"[{'1': '6.75', 'X': '4.60', '2': '1.48', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '7.00', 'X': '4.50', '2': '1.48', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.60', 'X': '4.40', '2': '1.47', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '6.50', 'X': '4.20', '2': '1.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '6.94', 'X': '4.62', '2': '1.49', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:19 UTC,2020-07-22 19:15:00 UTC,Liverpool,Chelsea,Premier League 2019/2020,5,3,"3:1, 2:2",Anfield,Liverpool,England,"[{'1': '1.91', 'X': '3.75', '2': '4.00', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.91', 'X': '3.80', '2': '3.90', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.87', 'X': '3.70', '2': '3.90', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.90', 'X': '3.80', '2': '3.80', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.93', 'X': '3.80', '2': '4.09', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:25 UTC,2019-11-23 15:00:00 UTC,Everton,Norwich,Premier League 2019/2020,0,2,"0:0, 0:2",Goodison Park,Liverpool,England,"[{'1': '1.34', 'X': '5.15', '2': '7.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.36', 'X': '5.40', '2': '8.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.35', 'X': '5.21', '2': '7.96', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.33', 'X': '5.25', '2': '8.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.34', 'X': '5.64', '2': '9.17', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:24 UTC,2019-12-07 12:30:00 UTC,Everton,Chelsea,Premier League 2019/2020,3,1,"1:0, 2:1",Goodison Park,Liverpool,England,"[{'1': '3.15', 'X': '3.60', '2': '2.10', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '3.20', 'X': '3.75', '2': '2.17', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.10', 'X': '3.63', '2': '2.17', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '3.10', 'X': '3.80', '2': '2.15', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '3.37', 'X': '3.81', '2': '2.15', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:25 UTC,2020-06-24 17:00:00 UTC,Manchester Utd,Sheffield Utd,Premier League 2019/2020,3,0,"2:0, 1:0",Old Trafford,Manchester,England,"[{'1': '1.38', 'X': '4.70', '2': '9.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.36', 'X': '4.90', '2': '10.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.36', 'X': '4.70', '2': '9.00', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.33', 'X': '5.00', '2': '9.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.37', 'X': '5.00', '2': '10.32', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:30 UTC,2019-12-07 15:00:00 UTC,Tottenham,Burnley,Premier League 2019/2020,5,0,"3:0, 2:0",Tottenham Hotspur Stadium,London,England,"[{'1': '1.41', 'X': '4.55', '2': '6.70', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.43', 'X': '4.70', '2': '8.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.36', 'X': '5.00', '2': '8.00', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.40', 'X': '4.75', '2': '7.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.95', '2': '7.29', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:30 UTC,2020-01-01 15:00:00 UTC,Southampton,Tottenham,Premier League 2019/2020,1,0,"1:0, 0:0",St. Mary's Stadium,Southampton,England,"[{'1': '3.35', 'X': '3.75', '2': '1.95', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '3.45', 'X': '3.90', '2': '2.02', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '3.44', 'X': '3.71', '2': '2.00', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '3.50', 'X': '3.90', '2': '1.95', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '3.51', 'X': '3.91', '2': '2.05', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:30 UTC,2019-09-28 14:00:00 UTC,Chelsea,Brighton,Premier League 2019/2020,2,0,"0:0, 2:0",Stamford Bridge,London,England,"[{'1': '1.39', 'X': '4.50', '2': '7.25', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.43', 'X': '4.60', '2': '8.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.41', 'X': '4.77', '2': '6.98', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.64', '2': '8.06', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:35 UTC,2020-01-11 15:00:00 UTC,Leicester,Southampton,Premier League 2019/2020,1,2,"1:1, 0:1",King Power Stadium,Leicester,England,"[{'1': '1.67', 'X': '3.70', '2': '4.80', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.65', 'X': '4.00', '2': '5.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.71', 'X': '3.85', '2': '4.63', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.70', 'X': '3.80', '2': '5.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.73', 'X': '3.90', '2': '5.12', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:35 UTC,2019-09-21 16:30:00 UTC,Newcastle,Brighton,Premier League 2019/2020,0,0,"0:0, 0:0",St. James' Park,Newcastle,England,"[{'1': '2.30', 'X': '3.05', '2': '3.15', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.35', 'X': '3.25', '2': '3.25', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.36', 'X': '3.11', '2': '3.18', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.42', 'X': '3.24', '2': '3.30', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:35 UTC,2019-11-09 12:30:00 UTC,Chelsea,Crystal Palace,Premier League 2019/2020,2,0,"0:0, 2:0",Stamford Bridge,London,England,"[{'1': '1.40', 'X': '4.55', '2': '6.90', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.42', 'X': '4.70', '2': '8.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.43', 'X': '4.61', '2': '6.88', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.40', 'X': '4.75', '2': '7.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.44', 'X': '4.69', '2': '7.98', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:40 UTC,2020-02-29 17:30:00 UTC,Watford,Liverpool,Premier League 2019/2020,3,0,"0:0, 3:0",Vicarage Road,Watford,England,"[{'1': '6.65', 'X': '4.60', '2': '1.49', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '6.75', 'X': '4.60', '2': '1.47', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '7.00', 'X': '4.50', '2': '1.44', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '6.50', 'X': '4.75', '2': '1.45', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '6.75', 'X': '4.76', '2': '1.49', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:40 UTC,2020-03-01 14:00:00 UTC,Tottenham,Wolves,Premier League 2019/2020,2,3,"2:1, 0:2",Tottenham Hotspur Stadium,London,England,"[{'1': '2.90', 'X': '3.05', '2': '2.65', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.75', 'X': '3.10', '2': '2.80', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.79', 'X': '3.04', '2': '2.68', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.75', 'X': '3.10', '2': '2.70', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.88', 'X': '3.10', '2': '2.77', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:40 UTC,2019-12-07 17:30:00 UTC,Manchester City,Manchester Utd,Premier League 2019/2020,1,2,"0:2, 1:0",Etihad Stadium,Manchester,England,"[{'1': '1.29', 'X': '5.60', '2': '8.25', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.33', 'X': '5.50', '2': '9.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.31', 'X': '5.51', '2': '8.47', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.30', 'X': '5.75', '2': '9.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.32', 'X': '6.20', '2': '9.50', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:44 UTC,2020-02-22 15:00:00 UTC,Southampton,Aston Villa,Premier League 2019/2020,2,0,"1:0, 1:0",St. Mary's Stadium,Southampton,England,"[{'1': '1.69', 'X': '3.85', '2': '4.55', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.71', 'X': '4.00', '2': '4.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.70', 'X': '4.00', '2': '4.53', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.66', 'X': '4.10', '2': '4.75', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.77', 'X': '3.98', '2': '4.67', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:45 UTC,2019-08-17 14:00:00 UTC,Norwich,Newcastle,Premier League 2019/2020,3,1,"1:0, 2:1",Carrow Road,Norwich,England,"[{'1': '2.05', 'X': '3.35', '2': '3.40', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.20', 'X': '3.35', '2': '3.45', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.12', 'X': '3.32', '2': '3.47', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.14', 'X': '3.57', '2': '3.58', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:45 UTC,2019-11-25 20:00:00 UTC,Aston Villa,Newcastle,Premier League 2019/2020,2,0,"2:0, 0:0",Villa Park,Birmingham,England,"[{'1': '2.10', 'X': '3.35', '2': '3.30', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.14', 'X': '3.50', '2': '3.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.16', 'X': '3.49', '2': '3.23', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.15', 'X': '3.40', '2': '3.40', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.22', 'X': '3.58', '2': '3.37', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:44:49 UTC,2019-08-25 15:30:00 UTC,Tottenham,Newcastle,Premier League 2019/2020,0,1,"0:1, 0:0",Tottenham Hotspur Stadium,London,England,"[{'1': '1.25', 'X': '5.75', '2': '9.75', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.28', 'X': '6.00', '2': '10.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.29', 'X': '5.91', '2': '8.50', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.28', 'X': '6.21', '2': '11.48', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
