scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2025-06-13 05:58:30 UTC,2021-11-21 14:00:00 UTC,Manchester City,Everton,Premier League 2021/2022,3,0,"1:0, 2:0",Etihad Stadium,Manchester,England,"[{'1': '1.21', 'X': '7.00', '2': '14.00', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.22', 'X': '6.60', '2': '13.00', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.20', 'X': '6.50', '2': '15.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.22', 'X': '7.50', '2': '16.00', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '1.20', 'X': '7.50', '2': '16.00', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:58:30 UTC,2021-12-19 14:00:00 UTC,Wolves,Chelsea,Premier League 2021/2022,0,0,"0:0, 0:0",Molineux Stadium,Wolverhampton,England,"[{'1': '4.95', 'X': '3.40', '2': '1.80', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '5.50', 'X': '3.40', '2': '1.73', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '5.00', 'X': '3.40', '2': '1.79', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '5.50', 'X': '3.40', '2': '1.72', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '5.40', 'X': '3.39', '2': '1.85', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '5.74', 'X': '3.54', '2': '1.76', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:58:30 UTC,2022-04-20 18:45:00 UTC,Newcastle,Crystal Palace,Premier League 2021/2022,1,0,"1:0, 0:0",St. James' Park,Newcastle,England,"[{'1': '2.25', 'X': '3.20', '2': '3.45', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.30', 'X': '3.15', '2': '3.35', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.20', '2': '3.45', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.20', 'X': '3.30', '2': '3.30', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.31', 'X': '3.25', '2': '3.54', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '2.32', 'X': '3.24', '2': '3.54', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:58:35 UTC,2022-03-13 16:30:00 UTC,Arsenal,Leicester,Premier League 2021/2022,2,0,"1:0, 1:0",Emirates Stadium,London,England,"[{'1': '1.42', 'X': '4.85', '2': '7.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.40', 'X': '5.00', '2': '7.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.42', 'X': '4.90', '2': '7.20', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.40', 'X': '4.75', '2': '7.00', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.44', 'X': '4.90', '2': '7.99', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '1.45', 'X': '4.78', '2': '7.92', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:58:35 UTC,2021-08-21 14:00:00 UTC,Leeds,Everton,Premier League 2021/2022,2,2,"1:1, 1:1",Elland Road,Leeds,England,"[{'1': '2.20', 'X': '3.45', '2': '3.30', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.10', 'X': '3.40', '2': '3.65', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.11', 'X': '3.45', '2': '3.45', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.05', 'X': '3.50', '2': '3.60', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.16', 'X': '3.55', '2': '3.65', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '2.15', 'X': '3.52', '2': '3.65', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:58:35 UTC,2022-05-22 15:00:00 UTC,Crystal Palace,Manchester Utd,Premier League 2021/2022,1,0,"1:0, 0:0",Selhurst Park,London,England,"[{'1': '2.80', 'X': '3.45', '2': '2.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.70', 'X': '3.40', '2': '2.55', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.80', 'X': '3.45', '2': '2.55', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.70', 'X': '3.50', '2': '2.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '2.81', 'X': '3.57', '2': '2.59', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '2.82', 'X': '3.57', '2': '2.59', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:58:40 UTC,2022-04-23 16:30:00 UTC,Brentford,Tottenham,Premier League 2021/2022,0,0,"0:0, 0:0",Brentford Community Stadium,London,England,"[{'1': '4.75', 'X': '3.95', '2': '1.74', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '4.60', 'X': '3.90', '2': '1.73', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.80', 'X': '4.00', '2': '1.72', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '4.75', 'X': '3.80', '2': '1.70', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '4.88', 'X': '4.05', '2': '1.76', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '4.93', 'X': '3.99', '2': '1.75', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:58:40 UTC,2021-10-16 14:00:00 UTC,Norwich,Brighton,Premier League 2021/2022,0,0,"0:0, 0:0",Carrow Road,Norwich,England,"[{'1': '3.55', 'X': '3.25', '2': '2.20', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '4.00', 'X': '3.50', '2': '1.97', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '4.20', 'X': '3.45', '2': '1.93', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '3.90', 'X': '3.50', '2': '1.95', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '4.16', 'X': '3.71', '2': '1.94', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '4.12', 'X': '3.69', '2': '1.96', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:58:39 UTC,2022-05-08 13:00:00 UTC,Arsenal,Leeds,Premier League 2021/2022,2,1,"2:0, 0:1",Emirates Stadium,London,England,"[{'1': '1.51', 'X': '4.50', '2': '6.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.53', 'X': '4.40', '2': '6.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.53', 'X': '4.50', '2': '6.20', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.53', 'X': '4.50', '2': '5.50', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.53', 'X': '4.58', '2': '6.44', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '1.54', 'X': '4.56', '2': '6.38', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:58:44 UTC,2021-12-12 14:00:00 UTC,Leicester,Newcastle,Premier League 2021/2022,4,0,"1:0, 3:0",King Power Stadium,Leicester,England,"[{'1': '1.68', 'X': '3.95', '2': '4.70', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.73', 'X': '3.95', '2': '4.75', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.73', 'X': '4.00', '2': '4.50', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.70', 'X': '4.00', '2': '4.75', 'bookmaker_name': 'bet365.us', 'period': 'FullTime'}, {'1': '1.74', 'X': '4.15', '2': '5.09', 'bookmaker_name': 'BetInAsia', 'period': 'FullTime'}, {'1': '1.70', 'X': '4.12', '2': '5.06', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
