scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,1x2_market
2025-06-13 05:40:40 UTC,2019-01-19 15:00:00 UTC,Liverpool,Crystal Palace,Premier League 2018/2019,4,3,"0:1, 4:2",Anfield,Liverpool,England,"[{'1': '1.21', 'X': '6.90', '2': '14.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.20', 'X': '6.75', '2': '16.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.19', 'X': '6.50', '2': '15.00', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.24', 'X': '6.86', '2': '12.02', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:40:40 UTC,2019-05-04 16:30:00 UTC,Cardiff,Crystal Palace,Premier League 2018/2019,2,3,"1:2, 1:1",Cardiff City Stadium,Cardiff,Wales,"[{'1': '2.45', 'X': '3.55', '2': '2.60', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.60', 'X': '3.65', '2': '2.60', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.52', 'X': '3.57', '2': '2.61', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.53', 'X': '3.79', '2': '2.75', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:40:44 UTC,2018-12-08 12:30:00 UTC,Bournemouth,Liverpool,Premier League 2018/2019,0,4,"0:1, 0:3",Vitality Stadium,Bournemouth,England,"[{'1': '7.00', 'X': '4.60', '2': '1.47', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '7.00', 'X': '4.70', '2': '1.46', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '6.48', 'X': '4.64', '2': '1.45', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '7.43', 'X': '4.72', '2': '1.48', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:40:44 UTC,2018-11-11 14:15:00 UTC,Chelsea,Everton,Premier League 2018/2019,0,0,"0:0, 0:0",Stamford Bridge,London,England,"[{'1': '1.38', 'X': '4.95', '2': '8.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.37', 'X': '5.10', '2': '8.50', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.38', 'X': '4.81', '2': '7.93', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.40', 'X': '5.04', '2': '8.94', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:40:44 UTC,2019-04-03 18:45:00 UTC,Manchester City,Cardiff,Premier League 2018/2019,2,0,"2:0, 0:0",Etihad Stadium,Manchester,England,"[{'1': '1.05', 'X': '12.25', '2': '21.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.06', 'X': '14.00', '2': '31.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.07', 'X': '11.17', '2': '27.98', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.08', 'X': '14.62', '2': '25.88', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:40:49 UTC,2018-10-07 15:30:00 UTC,Liverpool,Manchester City,Premier League 2018/2019,0,0,"0:0, 0:0",Anfield,Liverpool,England,"[{'1': '2.75', 'X': '3.50', '2': '2.55', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.75', 'X': '3.50', '2': '2.55', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.69', 'X': '3.51', '2': '2.48', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.84', 'X': '3.55', '2': '2.60', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:40:49 UTC,2018-08-19 12:30:00 UTC,Burnley,Watford,Premier League 2018/2019,1,3,"1:1, 0:2",Turf Moor,Burnley,England,"[{'1': '2.40', 'X': '3.05', '2': '3.30', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.38', 'X': '3.10', '2': '3.35', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.39', 'X': '3.00', '2': '3.24', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.48', 'X': '3.11', '2': '3.36', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:40:49 UTC,2019-02-23 17:30:00 UTC,Leicester,Crystal Palace,Premier League 2018/2019,1,4,"0:1, 1:3",King Power Stadium,Leicester,England,"[{'1': '2.20', 'X': '3.15', '2': '3.20', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '2.25', 'X': '3.30', '2': '3.40', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '2.23', 'X': '3.22', '2': '3.32', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '2.30', 'X': '3.41', '2': '3.45', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:40:54 UTC,2018-11-11 12:00:00 UTC,Liverpool,Fulham,Premier League 2018/2019,2,0,"1:0, 1:0",Anfield,Liverpool,England,"[{'1': '1.09', 'X': '11.25', '2': '25.50', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.10', 'X': '11.00', '2': '25.00', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.09', 'X': '9.91', '2': '21.93', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.10', 'X': '11.92', '2': '26.16', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
2025-06-13 05:40:53 UTC,2018-09-22 14:00:00 UTC,Leicester,Huddersfield,Premier League 2018/2019,3,1,"1:1, 2:0",King Power Stadium,Leicester,England,"[{'1': '1.69', 'X': '3.55', '2': '5.85', 'bookmaker_name': '10bet', 'period': 'FullTime'}, {'1': '1.70', 'X': '3.60', '2': '5.80', 'bookmaker_name': '888sport', 'period': 'FullTime'}, {'1': '1.68', 'X': '3.50', '2': '5.56', 'bookmaker_name': 'bet-at-home', 'period': 'FullTime'}, {'1': '1.72', 'X': '3.67', '2': '5.91', 'bookmaker_name': 'Pinnacle', 'period': 'FullTime'}]"
