standard_team_name
Duke
Florida
Houston
Auburn
Tennessee
Alabama
Texas Tech
Michigan State
Gonzaga
Iowa State
St. John's
Maryland
Wisconsin
Arizona
Missouri
Kentucky
Texas A&M
Clemson
Purdue
Illinois
Kansas
Saint Mary's
Louisville
BYU
Michigan
Mississippi
UCLA
Marquette
Baylor
VCU
Oregon
Mississippi State
North Carolina
Georgia
Connecticut
UC San Diego
Creighton
Oklahoma
Ohio State
Arkansas
New Mexico
Colorado State
Xavier
Texas
Northwestern
San Diego State
SMU
Indiana
Vanderbilt
Boise State
Memphis
Utah State
West Virginia
Nebraska
Cincinnati
Villanova
Santa Clara
Drake
McNeese
Penn State
Pittsburgh
Liberty
USC
Iowa
San Francisco
UC Irvine
Kansas State
UCF
South Carolina
Arizona State
Wake Forest
North Texas
Yale
Dayton
Rutgers
Utah
Butler
George Mason
Saint Joseph's
Nevada
Colorado
Stanford
Lipscomb
High Point
Oregon State
TCU
Georgetown
LSU
Florida State
Minnesota
Arkansas State
UNLV
Grand Canyon
Georgia Tech
Bradley
Notre Dame
Providence
Troy
Akron
Oklahoma State
Northern Iowa
St. Bonaventure
UAB
Virginia
UNC Wilmington
Saint Louis
Cal State Northridge
Loyola Chicago
Washington
Chattanooga
North Alabama
California
George Washington
Utah Valley
Florida Atlantic
Samford
Syracuse
DePaul
Middle Tennessee
Wofford
South Alabama
Northern Colorado
Jacksonville State
Washington State
NC State
Louisiana Tech
St. Thomas
Cornell
Belmont
Kennesaw State
New Mexico State
Duquesne
North Dakota State
South Dakota State
Wichita State
Kent State
Furman
Tulane
Robert Morris
Illinois State
East Tennessee State
Murray State
UNC Greensboro
Milwaukee
UC Riverside
Seattle
UC Santa Barbara
Davidson
Bryant
Rhode Island
Miami (OH)
Radford
Charleston
Towson
Loyola Marymount
Nebraska Omaha
Montana
UTEP
Western Kentucky
Texas A&M Corpus Christi
Virginia Tech
James Madison
Winthrop
Purdue Fort Wayne
San Jose State
Lamar
Cal Baptist
Cleveland State
Marshall
Appalachian State
Temple
Florida Gulf Coast
Nicholls
UIC
Sam Houston State
East Carolina
Oakland
Princeton
Jacksonville
Norfolk State
Cal Poly
Eastern Kentucky
Central Connecticut
Boston College
Wyoming
Montana State
Drexel
Merrimack
Rice
South Carolina State
UTSA
Miami (FL)
Southern Illinois
Southeastern Louisiana
South Florida
Texas State
Elon
UNC Asheville
Central Michigan
Ohio
Indiana State
Youngstown State
Queens
Southeast Missouri State
Dartmouth
Seton Hall
Portland State
Brown
Northeastern
Idaho State
Longwood
Valparaiso
Quinnipiac
Massachusetts
Hampton
Pepperdine
SIU Edwardsville
Maine
Abilene Christian
Hofstra
Campbell
La Salle
Wright State
Hawaii
Bucknell
UT Arlington
Little Rock
Northwestern State
Fordham
William & Mary
Presbyterian
Delaware
Southern
Northern Kentucky
Kansas City
Manhattan
American
Richmond
Cal State Bakersfield
Toledo
South Dakota
UT Rio Grande Valley
Vermont
UMass Lowell
Missouri State
UC Davis
Northern Arizona
Incarnate Word
Jackson State
Mount St. Mary's
Georgia Southern
Tennessee State
Siena
Florida International
Fresno State
Harvard
Iona
North Florida
Colgate
Mercer
Evansville
Sacred Heart
Gardner-Webb
North Dakota
Georgia State
Monmouth
Tulsa
Portland
Albany
Marist
Navy
Alabama State
Austin Peay
Ball State
Idaho
Stephen F. Austin
Columbia
Houston Christian
Texas Southern
Eastern Michigan
Lehigh
Pacific
Old Dominion
LIU
Tarleton State
VMI
Bethune Cookman
Lafayette
Bowling Green
Penn
Tennessee Martin
Western Michigan
Eastern Washington
Southern Utah
San Diego
Southern Miss
UMBC
Saint Peter's
Weber State
Utah Tech
Charleston Southern
Long Beach State
Tennessee Tech
Boston University
Loyola Maryland
Delaware State
Fairleigh Dickinson
Denver
Air Force
Saint Francis
Howard
Rider
IU Indy
Eastern Illinois
Louisiana
Florida A&M
Binghamton
Grambling State
Holy Cross
Niagara
Stonehill
North Carolina Central
Army
Alcorn State
Lindenwood
Morehead State
Oral Roberts
Coastal Carolina
East Texas A&M
Morgan State
Stony Brook
Fairfield
Green Bay
North Carolina A&T
Southern Indiana
Detroit Mercy
Western Carolina
USC Upstate
Buffalo
Bellarmine
